id,registrationId,疾患名,疾患略語,手法,調査種別,対象者種別,専門,実績数,問合せのみ,対象条件,薬剤,リクルート実施,モデレーター,クライアント,エンドクライアント,PJ番号,実施年月,登録担当,登録日
128,20251023-0128,乳がん,Breast cancer,IDI,定性,医師,乳腺外科,8,FALSE,過去3ヶ月間に診療したホルモン受容体陽性HER2陰性乳癌患者のうちステージⅠ、Ⅱ、Ⅲ （転移なし） が９人以上、ステージⅣ（転移あり） が15人以上,"アベマシクリブ,ベージニオ",PDリサーチ,米村雅之,The Link Group,イーライリリー,W04027167,2022/7/1,大塚,
129,20251023-0129,乳がん,Breast cancer,IDI,定性,医師,一般外科,3,FALSE,過去3ヵ月間に診療したホルモン受容体陽性HER2陰性乳癌患者のうちステージⅠ、Ⅱ、Ⅲ （転移なし） が９人以上、ステージⅣ（転移あり） が15人以上,"アベマシクリブ,ベージニオ",PDリサーチ,米村雅之,The Link Group,イーライリリー,W04027167,2022/7/1,大塚,
130,20251023-0130,乳がん,Breast cancer,IDI,定性,医師,乳腺外科,2,FALSE,過去3ヶ月間に診療したホルモン受容体陽性HER2陰性乳癌患者のうちステージⅠ、Ⅱ、Ⅲ （転移なし） が９人以上、ステージⅣ（転移あり） が15人以上,"アベマシクリブ,ベージニオ",キャンドゥ,米村雅之,The Link Group,イーライリリー,W04027167,2022/7/1,大塚,
131,20251023-0131,乳がん,Breast cancer,IDI,定性,医師,一般外科,1,FALSE,過去3ヵ月間に診療したホルモン受容体陽性HER2陰性乳癌患者のうちステージⅠ、Ⅱ、Ⅲ （転移なし） が９人以上、ステージⅣ（転移あり） が15人以上,"アベマシクリブ,ベージニオ",キャンドゥ,米村雅之,The Link Group,イーライリリー,W04027167,2022/7/1,大塚,
132,20251023-0132,動脈硬化性心疾患,"Atherosclerotic Cardiovascular Disease, ASCVD",IDI,定性,医師,循環器科,5,FALSE,1ヶ月に動脈硬化症／動脈硬化性心血管疾患患者を30人以上診療,Lp(a)阻害剤,キャンドゥ,橋本浩美,The Link Group,アストラゼネカ,W12025167,2022/3/1,大塚,
133,20251023-0133,動脈硬化性心疾患,"Atherosclerotic Cardiovascular Disease, ASCVD",IDI,定性,医師,内科,4,FALSE,1ヶ月に動脈硬化症／動脈硬化性心血管疾患患者を20人以上診療,Lp(a)阻害剤,キャンドゥ,橋本浩美,The Link Group,アストラゼネカ,W12025167,2022/3/1,大塚,
134,20251023-0134,動脈硬化性心疾患,"Atherosclerotic Cardiovascular Disease, ASCVD",IDI,定性,医師,内分泌科／代謝内科／糖尿病内科,1,FALSE,1ヶ月に動脈硬化症／動脈硬化性心血管疾患患者を30人以上診療,Lp(a)阻害剤,キャンドゥ,橋本浩美,The Link Group,アストラゼネカ,W12025167,2022/3/1,大塚,
135,20251023-0135,動脈硬化性心疾患,"Atherosclerotic Cardiovascular Disease, ASCVD",IDI,定性,患者,,5,FALSE,1次予防患者：動脈硬化性脳血管障害、冠動脈疾患、末梢動脈疾患、2型糖尿病のいずれかと診断されている、心血管の健康管理のために薬剤を服用している、または服用していた,Lp(a)阻害剤,アスマーク,橋本浩美,The Link Group,アストラゼネカ,W12025167,2022/3/1,大塚,
136,20251023-0136,動脈硬化性心疾患,"Atherosclerotic Cardiovascular Disease, ASCVD",IDI,定性,患者,,4,FALSE,2次予防患者：CVイベントの既往歴あり、心血管の健康管理のために薬剤を服用している、または服用していた,Lp(a)阻害剤,アスマーク,橋本浩美,The Link Group,アストラゼネカ,W12025167,2022/3/1,大塚,
137,20251023-0137,2型糖尿病,"Type 2 Diabetes Mellitus, T2DM",IDI,定性,医師,糖尿病内科,2,FALSE,1ヶ月に2型糖尿病患者を80人以上診療、自身でインスリン以外の注射製剤および基礎インスリン製剤の治療を開始,GLP-1,キャンドゥ,橋本浩美,The Link Group,イーライリリー,W11053167,2022/2/1,大塚,
138,20251023-0138,2型糖尿病,"Type 2 Diabetes Mellitus, T2DM",IDI,定性,医師,内科,3,FALSE,1ヶ月に2型糖尿病患者を40名以上診療、自身でインスリン以外の注射製剤および基礎インスリン製剤の治療を開始,GLP-1,キャンドゥ,橋本浩美,The Link Group,イーライリリー,W11053167,2022/2/1,大塚,
139,20251023-0139,2型糖尿病,"Type 2 Diabetes Mellitus, T2DM",IDI,定性,医師,循環器内科,2,FALSE,1ヶ月に2型糖尿病患者を40名以上診療、自身でインスリン以外の注射製剤および基礎インスリン製剤の治療を開始,GLP-1,キャンドゥ,橋本浩美,The Link Group,イーライリリー,W11053167,2022/2/1,大塚,
140,20251023-0140,2型糖尿病,"Type 2 Diabetes Mellitus, T2DM",IDI,定性,医師,消化器内科,1,FALSE,1ヶ月に2型糖尿病患者を40名以上診療、自身でインスリン以外の注射製剤および基礎インスリン製剤の治療を開始,GLP-1,キャンドゥ,橋本浩美,The Link Group,イーライリリー,W11053167,2022/2/1,大塚,
141,20251023-0141,転移性乳がん,Metastatic breast cancer,IDI,定性,医師,乳腺外科,7,FALSE,過去3ヶ月にホルモン受容体陽性HER2陰性 (HR陽性HER2陰性) のステージ4の乳癌患者を10人以上診療,イムルネストラント,キャンドゥ,米村雅之,The Link Group,イーライリリー,W10055167,2022/3/1,大塚,
142,20251023-0142,転移性乳がん,Metastatic breast cancer,IDI,定性,医師,腫瘍内科,3,FALSE,過去3ヶ月にホルモン受容体陽性HER2陰性 (HR陽性HER2陰性) のステージ4の乳癌患者を10人以上診療,イムルネストラント,キャンドゥ,米村雅之,The Link Group,イーライリリー,W10055167,2022/3/1,大塚,
143,20251023-0143,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,精神科,3,FALSE,過去3ヶ月に診察した患者が75人以上で、アルツハイマー型認知症とMCI患者の合計が30人以上,TAUVID,キャンドゥ,橋本浩美,The Link Group,イーライリリー,W09062167,2022/11/1,大塚,
144,20251023-0144,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,内科,2,FALSE,過去3ヶ月に診察した患者が75人以上で、アルツハイマー型認知症とMCI患者の合計が30人以上,TAUVID,キャンドゥ,橋本浩美,The Link Group,イーライリリー,W09062167,2022/11/1,大塚,
145,20251023-0145,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,脳神経外科,3,FALSE,過去3ヶ月に診察した患者が75人以上で、アルツハイマー型認知症とMCI患者の合計が30人以上,TAUVID,キャンドゥ,橋本浩美,The Link Group,イーライリリー,W09062167,2022/11/1,大塚,
146,20251023-0146,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,老年科,1,FALSE,過去3ヶ月に診察した患者が75人以上で、アルツハイマー型認知症とMCI患者の合計が30人以上,TAUVID,キャンドゥ,橋本浩美,The Link Group,イーライリリー,W09062167,2022/11/1,大塚,
147,20251023-0147,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,神経内科,3,FALSE,過去3ヶ月に診察した患者が75人以上で、アルツハイマー型認知症とMCI患者の合計が30人以上,TAUVID,キャンドゥ,橋本浩美,The Link Group,イーライリリー,W09062167,2022/11/1,大塚,
148,20251023-0148,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,核医学専門医,3,FALSE,勤務先施設にPET装置があり、過去3ヶ月に、神経内科・脳神経外科・精神科からのPET検査の依頼が、全体の15％以上を占める,TAUVID,キャンドゥ,橋本浩美,The Link Group,イーライリリー,W09062167,2023/8/1,大塚,
149,20251023-0149,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,患者,,8,FALSE,記憶力や思考力が以前とは違うと感じ、アルツハイマーと診断されている場合は、早期、軽度まで,TAUVID,アスマーク,松浦友与,The Link Group,イーライリリー,W09045167,2022/12/1,大塚,
150,20251023-0150,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",Dyad,定性,患者,,6,FALSE,記憶力や思考力が以前とは違うと感じ、ADと診断されている場合は、早期、軽度までの患者さんとご家族,TAUVID,アスマーク,松浦友与,The Link Group,イーライリリー,W09045167,2022/12/1,大塚,
151,20251023-0151,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",Dyad,定性,介護者,,6,FALSE,記憶力や思考力が以前とは違うと感じ、ADと診断されている場合は、早期、軽度までの患者さんとご家族,TAUVID,アスマーク,松浦友与,The Link Group,イーライリリー,W09045167,2022/12/1,大塚,
152,20251023-0152,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,患者,,8,FALSE,記憶力や思考力が以前とは違うと感じ、ADと診断されている場合は、早期、軽度まで,TAUVID,アスマーク,松江豊兆,The Link Group,イーライリリー,W08069167,2022/10/1,大塚,
153,20251023-0153,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",Dyad,定性,患者,,6,FALSE,記憶力や思考力が以前とは違うと感じ、ADと診断されている場合は、早期、軽度までの患者さんとご家族,TAUVID,アスマーク,松江豊兆,The Link Group,イーライリリー,W08069167,2022/10/1,大塚,
154,20251023-0154,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",Dyad,定性,介護者,,6,FALSE,記憶力や思考力が以前とは違うと感じ、ADと診断されている場合は、早期、軽度までの患者さんとご家族,TAUVID,アスマーク,松江豊兆,The Link Group,イーライリリー,W08069167,2022/10/1,大塚,
155,20251023-0155,アトピー性皮膚炎,"Atopic Dermatitis, AD",IDI,定性,医師,皮膚科,8,FALSE,疾患を問わず月平均の患者数が50人以上、アトピー性皮膚炎の成人患者が5名以上、生物学的製剤／新規経口全身製剤の処方箋が4枚以上,"レブリキズマブ,イブグリース",キャンドゥ,橋本浩美,The Link Group,イーライリリー,W08044167,2022/10/1,大塚,
156,20251023-0156,2型糖尿病,"Type 2 Diabetes Mellitus, T2DM",IDI,定性,患者,,12,FALSE,過去6ヶ月から15年以内に2型糖尿病と診断され、A1cが7以上で、主治医からA1cをコントロールできていないと言われている患者,GLP-1,アスマーク,橋本浩美,The Link Group,イーライリリー,W08054167,2022/11/1,大塚,
157,20251023-0157,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,神経内科,3,FALSE,1ヶ月にかかりつけ医は250人以上、専門医は100人以上を診療,"ドナネマブ,ケサンラ",キャンドゥ,橋本浩美,The Link Group,イーライリリー,W08011166,2022/9/1,大塚,
158,20251023-0158,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,脳神経外科,2,FALSE,1ヶ月にかかりつけ医は250人以上、専門医は100人以上を診療,"ドナネマブ,ケサンラ",キャンドゥ,橋本浩美,The Link Group,イーライリリー,W08011166,2022/9/1,大塚,
159,20251023-0159,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,精神科,3,FALSE,1ヶ月にかかりつけ医は250人以上、専門医は100人以上を診療,"ドナネマブ,ケサンラ",キャンドゥ,橋本浩美,The Link Group,イーライリリー,W08011166,2022/9/1,大塚,
160,20251023-0160,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,内科,3,FALSE,1ヶ月にかかりつけ医は250人以上、専門医は100人以上を診療,"ドナネマブ,ケサンラ",キャンドゥ,橋本浩美,The Link Group,イーライリリー,W08011166,2022/9/1,大塚,
161,20251023-0161,関節リウマチ,Rheumatoid Arthritis,IDI,定性,医師,リウマチ科,9,FALSE,1ヶ月に関節リウマチ患者を10人以上診療,"バリシチニブ,オルミエント",キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,W08006167,2022/9/1,大塚,
162,20251023-0162,関節リウマチ,Rheumatoid Arthritis,IDI,定性,医師,整形外科,3,FALSE,1ヶ月に関節リウマチ患者を10人以上診療,"バリシチニブ,オルミエント",キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,W08006167,2022/9/1,大塚,
163,20251023-0163,動脈硬化性心疾患,"Atherosclerotic Cardiovascular Disease, ASCVD",IDI,定性,医師,循環器内科,5,FALSE,1ヶ月に脂質異常症／動脈硬化性心血管疾患患者を心臓・循環器専門医は30人以上、一般開業医は20人以上診療,PCSK-9 阻害薬,キャンドゥ,橋本浩美,The Link Group,アストラゼネカ,W04059167,2022/7/1,大塚,
164,20251023-0164,動脈硬化性心疾患,"Atherosclerotic Cardiovascular Disease, ASCVD",IDI,定性,医師,内科,2,FALSE,1ヶ月に脂質異常症／動脈硬化性心血管疾患患者を心臓・循環器専門医は30人以上、一般開業医は20人以上診療,PCSK-9 阻害薬,キャンドゥ,橋本浩美,The Link Group,アストラゼネカ,W04059167,2022/7/1,大塚,
165,20251023-0165,動脈硬化性心疾患,"Atherosclerotic Cardiovascular Disease, ASCVD",IDI,定性,医師,総合診療科,1,FALSE,1ヶ月に脂質異常症／動脈硬化性心血管疾患患者を心臓・循環器専門医は30人以上、一般開業医は20人以上診療,PCSK-9 阻害薬,キャンドゥ,橋本浩美,The Link Group,アストラゼネカ,W04059167,2022/7/1,大塚,
166,20251023-0166,アトピー性皮膚炎,"Atopic Dermatitis, AD",IDI,定性,医師,皮膚科,8,FALSE,疾患を問わず月平均の患者数が50人以上、アトピー性皮膚炎の成人患者が5名以上、生物学的製剤／新規経口全身製剤の処方箋が4枚以上,"レブリキズマブ,イブグリース",キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,W03053167,2022/5/1,大塚,
167,20251023-0167,アトピー性皮膚炎,"Atopic Dermatitis, AD",IDI,定性,医師,皮膚科,12,FALSE,1ヶ月に成人アトピー性皮膚炎・湿疹患者を20人以上診療、過去３ヶ月のJAK阻害剤処方箋数：病院勤務は10枚以上、クリニック勤務は5枚以上,"バリシチニブ,オルミエント",キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,W01035167,2022/2/1,大塚,
168,20251023-0168,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,一般内科,2,FALSE,1ヶ月に250人以上を診療し、そのうちアルツハイマー型認知症が疑われる軽度認知障害と軽度アルツハイマー型認知症患者の合計が5人以上,"ドナネマブ,ケサンラ",キャンドゥ,国吉尚子,The Link Group,イーライリリー,W02031167,2022/4/1,大塚,
169,20251023-0169,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,神経内科,1,FALSE,1ヶ月に100人以上を診療し、そのうちアルツハイマー型認知症が疑われる軽度認知障害と軽度アルツハイマー型認知症患者の合計が10人以上,"ドナネマブ,ケサンラ",キャンドゥ,国吉尚子,The Link Group,イーライリリー,W02031167,2022/4/1,大塚,
170,20251023-0170,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,精神科,1,FALSE,1ヶ月に100人以上を診療し、そのうちアルツハイマー型認知症が疑われる軽度認知障害と軽度アルツハイマー型認知症患者の合計が10人以上,"ドナネマブ,ケサンラ",キャンドゥ,国吉尚子,The Link Group,イーライリリー,W02031167,2022/4/1,大塚,
171,20251023-0171,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,脳神経外科,2,FALSE,1ヶ月に100人以上を診療し、そのうちアルツハイマー型認知症が疑われる軽度認知障害と軽度アルツハイマー型認知症患者の合計が10人以上,"ドナネマブ,ケサンラ",キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,W03052167,2022/5/1,大塚,
172,20251023-0172,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,内科,3,FALSE,1ヶ月に250人以上を診療し、そのうちアルツハイマー型認知症が疑われる軽度認知障害と軽度アルツハイマー型認知症患者の合計が10人以上,"ドナネマブ,ケサンラ",キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,W03052167,2022/5/1,大塚,
173,20251023-0173,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,精神科,2,FALSE,1ヶ月に100人以上を診療し、そのうちアルツハイマー型認知症が疑われる軽度認知障害と軽度アルツハイマー型認知症患者の合計が20人以上,"ドナネマブ,ケサンラ",キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,W03052167,2022/5/1,大塚,
174,20251023-0174,アルツハイマー型認知症／軽度認知障害,"Alzheimer's Disease, AD/Mild Cognitive Impairment, MCI",IDI,定性,医師,神経内科,1,FALSE,1ヶ月に100人以上を診療し、そのうちアルツハイマー型認知症が疑われる軽度認知障害と軽度アルツハイマー型認知症患者の合計が20人以上,"ドナネマブ,ケサンラ",キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,W03052167,2022/5/1,大塚,
175,20251023-0175,肥満症,Obesity,IDI,定性,患者,,10,FALSE,BMIが27以上、過去に減量経験がある、体重と将来の健康を心配している、体重減少をもたらす処方箋の減量薬服用を検討する,GLP-1,アスマーク,橋本浩美,The Link Group,イーライリリー,W01030167,2022/3/1,大塚,
176,20251023-0176,犬猫用抗生剤,Veterinary antibacterial agents for dogs and cats,IDI,定性,医師,コンパニオンアニマル獣医,10,FALSE,主に犬猫などの小動物を治療、一般医または総合医の獣医師免許資格を保有し、個人経営の動物病院で獣医師として従事,コンベニア,,武田裕煕,The Link Group,ゾエティス,V11005167,2021/12/1,大塚,
177,20251023-0177,片頭痛,Migraine,IDI,定性,医師,神経学,3,FALSE,１ヶ月に片頭痛患者を10人以上診療し、予防薬で治療している患者の割合が20%以上、過去３ヶ月に処方したカルシトニン遺伝子関連ペプチド（CGRP）モノクローナル抗体が５件以上,"エムガルティ,ガルカネズマブ",キャンドゥ,木藤絵里,The Link Group,イーライリリー,V11025167,2022/1/1,大塚,
178,20251023-0178,片頭痛,Migraine,IDI,定性,医師,脳神経外科,2,FALSE,１ヶ月に片頭痛患者を10人以上診療し、予防薬で治療している患者の割合が20%以上、過去３ヶ月に処方したカルシトニン遺伝子関連ペプチド（CGRP）モノクローナル抗体が５件以上,"エムガルティ,ガルカネズマブ",キャンドゥ,木藤絵里,The Link Group,イーライリリー,V11025167,2022/1/1,大塚,
179,20251023-0179,片頭痛,Migraine,IDI,定性,医師,内科,2,FALSE,１ヶ月に片頭痛患者を10人以上診療し、予防薬で治療している患者の割合が20%以上、過去３ヶ月に処方したカルシトニン遺伝子関連ペプチド（CGRP）モノクローナル抗体が５件以上,"エムガルティ,ガルカネズマブ",キャンドゥ（日経）,木藤絵里,The Link Group,イーライリリー,V11025167,2022/1/1,大塚,
180,20251023-0180,片頭痛,Migraine,IDI,定性,医師,精神科,2,FALSE,１ヶ月に片頭痛患者を10人以上診療し、予防薬で治療している患者の割合が20%以上、過去３ヶ月に処方したカルシトニン遺伝子関連ペプチド（CGRP）モノクローナル抗体が５件以上,"エムガルティ,ガルカネズマブ",キャンドゥ（日経）,木藤絵里,The Link Group,イーライリリー,V11025167,2022/1/1,大塚,
181,20251023-0181,片頭痛,Migraine,IDI,定性,医師,神経学,1,FALSE,１ヶ月に片頭痛患者を10人以上診療し、予防薬で治療している患者の割合が20%以上、過去３ヶ月に処方したカルシトニン遺伝子関連ペプチド（CGRP）モノクローナル抗体が５件以上,"エムガルティ,ガルカネズマブ",キャンドゥ（日経）,木藤絵里,The Link Group,イーライリリー,V11025167,2022/1/1,大塚,
182,20251023-0182,片頭痛,Migraine,IDI,定性,医師,内科,3,FALSE,１ヶ月に片頭痛患者を10人以上診療し、予防薬で治療している患者の割合が20%以上、過去３ヶ月に処方したカルシトニン遺伝子関連ペプチド（CGRP）モノクローナル抗体が５件以上,"エムガルティ,ガルカネズマブ",キャンドゥ（日経）,木藤絵里,The Link Group,イーライリリー,V11026167,2022/3/1,トゥイード,
183,20251023-0183,片頭痛,Migraine,IDI,定性,医師,脳神経外科,3,FALSE,１ヶ月に片頭痛患者を10人以上診療し、予防薬で治療している患者の割合が20%以上、過去３ヶ月に処方したカルシトニン遺伝子関連ペプチド（CGRP）モノクローナル抗体が５件以上,"エムガルティ,ガルカネズマブ",キャンドゥ（日経）,木藤絵里,The Link Group,イーライリリー,V11026167,2022/3/1,トゥイード,
184,20251023-0184,片頭痛,Migraine,IDI,定性,医師,神経学,3,FALSE,１ヶ月に片頭痛患者を10人以上診療し、予防薬で治療している患者の割合が20%以上、過去３ヶ月に処方したカルシトニン遺伝子関連ペプチド（CGRP）モノクローナル抗体が５件以上,"エムガルティ,ガルカネズマブ",キャンドゥ（日経）,木藤絵里,The Link Group,イーライリリー,V11026167,2022/3/1,トゥイード,
185,20251023-0185,片頭痛,Migraine,IDI,定性,医師,精神科,2,FALSE,１ヶ月に片頭痛患者を10人以上診療し、予防薬で治療している患者の割合が20%以上、過去３ヶ月に処方したカルシトニン遺伝子関連ペプチド（CGRP）モノクローナル抗体が５件以上,"エムガルティ,ガルカネズマブ",キャンドゥ（日経）,木藤絵里,The Link Group,イーライリリー,V11026167,2022/1/1,トゥイード,
186,20251023-0186,転移性前立腺がん,Metastatic Prostate Cancer,IDI,定性,医師,泌尿器科,8,FALSE,過去3ヶ月に去勢抵抗性前立腺がん患者、ホルモン感受性前立腺がん患者をそれぞれ１名以上治療、転移性ホルモン感受性前立腺がん患者が5名以上,"アベマシクリブ,ベージニオ",キャンドゥ,米村雅之,The Link Group,イーライリリー,V10034167,2022/1/1,大塚,
187,20251023-0187,非小細胞肺がん,"Non-Small Cell Lung Cance, NSCLC",IDI,定性,医師,腫瘍内科,2,FALSE,1ヶ月に15人以上の非小細胞肺がん患者を治療し、そのうち７人以上が転移性非小細胞肺がん,,キャンドゥ,米村雅之,The Link Group,イーライリリー,V08064167,2021/11/1,大塚,
188,20251023-0188,非小細胞肺がん,"Non-Small Cell Lung Cance, NSCLC",IDI,定性,医師,呼吸器外科,2,FALSE,1ヶ月に15人以上の非小細胞肺がん患者を治療し、そのうち７人以上が転移性非小細胞肺がん,,キャンドゥ,米村雅之,The Link Group,イーライリリー,V08064167,2021/11/1,大塚,
189,20251023-0189,非小細胞肺がん,"Non-Small Cell Lung Cance, NSCLC",IDI,定性,医師,呼吸器科,6,FALSE,1ヶ月に15人以上の非小細胞肺がん患者を治療し、そのうち７人以上が転移性非小細胞肺がん,,キャンドゥ,米村雅之,The Link Group,イーライリリー,V08064167,2021/11/1,大塚,
190,20251023-0190,転移性前立腺がん,Metastatic Prostate Cancer,IDI,定性,医師,泌尿器科,8,FALSE,過去1ヶ月に治療した去勢抵抗性前立腺がん患者の5名以上が転移性がん,"アベマシクリブ,ベージニオ",キャンドゥ,米村雅之,The Link Group,イーライリリー,V10035167,2021/2/1,大塚,
191,20251023-0191,肥満症,Obesity,IDI,定性,医師,整形外科,1,FALSE,1ヶ月に20人以上の肥満症患者を診療,GLP-1,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,V08063167,2021/10/1,大塚,
192,20251023-0192,肥満症,Obesity,IDI,定性,医師,循環器内科,1,FALSE,1ヶ月に20人以上の肥満症患者を診療,GLP-1,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,V08063167,2021/10/1,大塚,
193,20251023-0193,肥満症,Obesity,IDI,定性,医師,産婦人科,1,FALSE,1ヶ月に20人以上の肥満症患者を診療,GLP-1,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,V08063167,2021/10/1,大塚,
194,20251023-0194,肥満症,Obesity,IDI,定性,医師,消化器内科,1,FALSE,1ヶ月に20人以上の肥満症患者を診療,GLP-1,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,V08063167,2021/10/1,大塚,
195,20251023-0195,肥満症,Obesity,IDI,定性,医師,内科,4,FALSE,1ヶ月に20人以上の肥満症患者を診療,GLP-1,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,V08063167,2021/10/1,大塚,
196,20251023-0196,肥満症,Obesity,IDI,定性,医師,内分泌・代謝内科,1,FALSE,1ヶ月に20人以上の肥満症患者を診療,GLP-1,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,V08063167,2021/10/1,大塚,
197,20251023-0197,肥満症,Obesity,IDI,定性,医師,腎臓内科,1,FALSE,1ヶ月に20人以上の肥満症患者を診療,GLP-1,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,V08063167,2021/10/1,大塚,
198,20251023-0198,肥満症,Obesity,IDI,定性,医師,総合診療科,2,FALSE,1ヶ月に20人以上の肥満症患者を診療,GLP-1,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,V08063167,2021/10/1,大塚,
199,20251023-0199,2型糖尿病,"Type 2 Diabetes Mellitus, T2DM",IDI,定性,医師,糖尿病内科,8,FALSE,1ヶ月に100人以上の成人の2型糖尿病患者を診療、過去３ヶ月に10名以上にGLP-1を処方している,GLP-1,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,V07016167,2021/11/1,大塚,
200,20251023-0200,2型糖尿病,"Type 2 Diabetes Mellitus, T2DM",IDI,定性,医師,一般内科,6,FALSE,1ヶ月に50人以上の成人の2型糖尿病患者を診療、過去３ヶ月に10名以上にGLP-1を処方している,GLP-1,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,V07016167,2021/11/1,大塚,
201,20251023-0201,2型糖尿病,"Type 2 Diabetes Mellitus, T2DM",IDI,定性,医師,総合診療科,1,FALSE,1ヶ月に50人以上の成人の2型糖尿病患者を診療、過去３ヶ月に10名以上にGLP-1を処方している,GLP-1,キャンドゥ,斉藤靖雄,The Link Group,イーライリリー,V07016167,2021/11/1,大塚,
202,20251023-0202,全身性エリテマトーデス/関節リウマチ,"Systemic Lupus Erythematosus, SLE/Rheumatoid Arthritis, RA",IDI,定性,医師,リウマチ科,14,FALSE,1ヶ月に診療する関節リウマチ患者が40人以上、全身性エリテマトーデス患者が15人以上、過去1ヶ月に関節リウマチに生物学的製剤／JAK阻害剤の処方箋を10枚以上処方,,キャンドゥ,橋本浩美,The Link Group,イーライリリー,V08029167,2021/11/1,大塚,
203,20251023-0203,2型糖尿病,"Type 2 Diabetes Mellitus, T2DM",IDI,定性,患者,,10,FALSE,過去6ヶ月から15年以内に2型糖尿病と診断され、直近のA1c値が7以上ある、現在経口薬、インスリン以外の注射、または基礎インスリンで治療中、今後注射薬を使用する可能性がある,GLP-1,アスマーク,米村 雅之,The Link Group,イーライリリー,V07015167,2021/12/1,大塚,
204,20251023-0204,急性骨髄性白血病/胆管細胞がん,"Acute Myeloid Leukemia, AML/Cholangiocarcinoma, CCA",IDI,定性,医師,肝胆膵外科/内科 （消化器外科・内科を含む）,7,FALSE,過去3ヶ月に急性骨髄性白血病患者を10人以上、肝・胆道がん患者を2人以上、肝内胆管がんと肝外胆管がん患者を合計で1人以上診療,,キャンドゥ,米村 雅之,The Link Group,,V06039167,2021/8/1,大塚,
205,20251023-0205,急性骨髄性白血病/胆管細胞がん,"Acute Myeloid Leukemia, AML/Cholangiocarcinoma, CCA",IDI,定性,医師,血液科/血液腫瘍科,13,FALSE,過去3ヶ月に急性骨髄性白血病患者を10人以上、肝・胆道がん患者を2人以上、肝内胆管がんと肝外胆管がん患者を合計で1人以上診療,,キャンドゥ,米村 雅之,The Link Group,,V06039167,2021/8/1,大塚,
